product,LGBM,MLP,RandomForest,Ridge,XGBoost,average,stack
artichoke,0.93005,0.89197,0.92907,0.83378,0.91597,0.94295,0.89739
cabbage,0.83781,0.8838,0.91726,0.80609,0.88683,0.89053,0.83706
cilantro,0.74718,0.8326,0.84273,0.82018,0.79734,0.83813,0.72172
daikon,0.9153,0.88025,0.93257,0.92559,0.92758,0.89636,0.83336
garlic,0.97011,0.96459,0.96521,0.90652,0.94156,0.94357,0.95795
onion,0.95131,0.97047,0.9579,0.93794,0.97188,0.95063,0.9564
radish,0.92229,0.94691,0.92329,0.83121,0.9053,0.93196,0.85367
